id	comment	country_code	longitude	latitude	name_de	name_fr	synonymous
4	"Die Bezeichnung «Schweiz» wird nicht berücksichtigt, da sie zu häufig in den Dokumenten vorkommt.
Le terme «Suisse» n'a pas été retenu vu son apparition très fréquente dans les documents.
Il termine «Svizzera», che compare molto frequentemente nei documenti, non è ritenuto nell'indice.
The term «Switzerland» is not taken into consideration due to its frequent use in the documents."		8.227512	46.818188	Schweiz	Suisse	Svizzera, Switzerland
5	Umfasst die Zeit bis 1945. Für die BRD, vgl. dodis.ch/G806. Für die DDR, vgl. dodis.ch/G283.		10.451526	51.16569			Deutschland, Germany, Allemagne, Germania, Drittes Reich, Deutsches Reich, Deutsches Kaiserreich
7			21.627312	47.531605			Debrecen
8			19.040236	47.497913			Budapest
9			-28.673147	-14.599414			Océan Atlantique, Atlantischer Ozean, Atlantik, Atlantico (Oceano), Oceano atlantico, Atlantique, Atlantique (Océan)
10	"Siehe auch:
Bretton Woods Konferenz (1944) (dodis.ch/R27225)
Abkommen von Bretton Woods (1944) (dodis.ch/R1111)"		-71.44111	44.258057			Bretton Woods
11			-95.71289	37.09024			USA, Etats-Unis, Vereinigte Staaten von Amerika, Stati Uniti d'America, Etats-Unis d'Amérique, EUA, United States of America, Amerika
12			15.255118	54.525963	Europa	Vieux Continent	
13			2.213749	46.22764	Frankreich	République française	Francia, French Republic
14			-3.435973	55.37805			Royaume-Uni, Angleterre, Grossbritannien, England, GB, Gran Bretagna, Regno Unito, Inghilterra, Great Britain, Grande-Bretagne, Vereinigtes Königreich, Royaume Uni, United Kingdom, UK, V.K.
15			18.643501	60.128162	Schweden	Suède	Svezia, Sverige, Sweden
16			-77.036667	38.895			Capitol Hill (Washington), Washington D.C., Washington
18			2.352222	48.856613			Parigi, Paris
20			19.503304	47.162495	Ungarn	Hongrie	Ungheria
21			37.6173	55.755825	Moskau	Moscou	Mosca
23			-74.00594	40.712784			New-York, New York, NY
25	"siehe auch:
Berlin (Ost): dodis.ch/G3061
Berlin (West): dodis.ch/G3581"		13.404954	52.520008			Gross-Berlin, Berlino, Berlin
27			8.539183	47.36865	Zürich	Zurich	Zurigo
28			6.142296	46.19839	Genf	Genève	Ginevra, Geneva
