id	comment	internal_comment	country_code	longitude	latitude	name_de	name_fr	synonymous
4	"Die Bezeichnung «Schweiz» wird nicht berücksichtigt, da sie zu häufig in den Dokumenten vorkommt.
Le terme «Suisse» n'a pas été retenu vu son apparition très fréquente dans les documents.
Il termine «Svizzera», che compare molto frequentemente nei documenti, non è ritenuto nell'indice.
The term «Switzerland» is not taken into consideration due to its frequent use in the documents."			8.227512	46.818188	Schweiz	Suisse	Svizzera, Switzerland
5	Umfasst die Zeit bis 1945. Für die BRD, vgl. dodis.ch/G806. Für die DDR, vgl. dodis.ch/G283.			10.451526	51.16569		Troisième Reich	Deutschland, Germany, Allemagne, Germania, Drittes Reich, Deutsches Reich, Deutsches Kaiserreich
7				21.627312	47.531605			Debrecen
8				19.040236	47.497913			Budapest
9				-28.673147	-14.599414			Océan Atlantique, Atlantischer Ozean, Atlantik, Atlantico (Oceano), Oceano atlantico, Atlantique, Atlantique (Océan)
10	"Siehe auch:
Bretton Woods Konferenz (1944) (dodis.ch/R27225)
Abkommen von Bretton Woods (1944) (dodis.ch/R1111)"			-71.44111	44.258057			Bretton Woods
11		"Les États-Unis, en forme longue États-Unis d'Amérique, sont une république constitutionnelle fédérale à régime présidentiel composée de 50 États :
- 48 États formant les Étas-Unis contigus (""mainland"" ou ""lower 48"") : Alabama (AL), Arizona (AZ), Arkansas (AR), Californie (CA), Caroline du Nord (NC), Caroline du Sud (SC), Colorado (CO), Connecticut (CT), Dakota du Nord (ND), Dakota du Sud (SD), Delaware (DE), Floride (FL), Géorgie (GA), Idaho (ID), Illinois (IL), Indiana (IN), Iowa (IA), Kansas (KS), Kentucky (KY), Louisiane (LA), Maine (ME), Maryland (MD), Massachusetts (MA), Michigan (MI), Minnesota (MN), Mississippi (MS), Missouri (MO), Montana (MT), Nebraska (NE), Nevada (NV), New Hampshire (NH), New Jersey (NJ), New York (NY), Nouveau-Mexique (NM), Ohio (OH), Oklahoma (OK), Oregon (OR), Pennsylvanie (PA), Rhode Island (RI), Tennessee (TN), Texas (TX), Utah (UT), Vermont (VT), Virginie (VA), Virginie-Occidentale (WV), Washington (WA), Wisconsin (WI), Wyoming (WY).
- 1 État non contigu continental : Alaska (AK).
- 1 État non contigu insulaire : Hawaï (HI).
Les États-Unis comptent en plus un district fédéral : Columbia (DC).
Le bureau du recensement des États-Unis distingue également :
- 2 côtes : Côte Est (cf. dodis.ch/G4546), Côte Ouest (cf. dodis.ch/G3146).
- 4 régions : Nord-Est (cf. dodis.ch/G13189), Midwest (cf. dodis.ch/G3145), Sud (cf. dodis.ch/G10239), West."		-95.71289	37.09024	Vereinigte Staaten von Amerika (1776-)	États-Unis	USA, Stati Uniti d'America (1776-), United States of America (1776-), United States, Stati Uniti
12				15.255118	54.525963	Europa	Vieux Continent	
13				2.213749	46.22764	Frankreich	République française	Francia, French Republic
14				-3.435973	55.37805	Grossbritannien	Royaume-Uni	GB, Gran Bretagna, Regno Unito, Inghilterra, Great Britain, United Kingdom, UK
15				18.643501	60.128162	Schweden	Suède	Svezia, Sverige, Sweden
16				-77.036667	38.895			Capitol Hill, Washington DC, Washington
18				2.352222	48.856613			Parigi, Paris
20				19.503304	47.162495	Ungarn	Hongrie	Ungheria
21				37.616667	55.75	Moskau	Moscou	Mosca, Moscow, Москва
23				-74.00594	40.712784			New-York, New York, NYC, NY
25	"siehe auch:
Berlin (Ost): dodis.ch/G3061
Berlin (West): dodis.ch/G3581"			13.404954	52.520008			Gross-Berlin, Berlino, Berlin
27				8.539183	47.36865	Zürich	Zurich	Zurigo
28				6.142296	46.19839	Genf	Genève	Ginevra, Geneva
29				104.1954	35.86166	China	Chine	Cina, Empire du Milieu, Rotchina, Reich der Mitte, Volkschina, Volksrepublik China, Chine populaire, République populaire de Chine, RPC
30				83.577778	63.7225	UdSSR	URSS	Russia (1917-1991), USSR, Unione sovietica, Unione delle Repubbliche Socialiste Sovietiche (1922-1991), URSS, CCCP
31		"L'Autriche, en forme longue République d'Autriche, est un État fédéral composé de 9 Bundesländer (Basse-Autriche, Burgenland, Carinthie, Haute-Autriche, Salzbourg, Styrie, Tyrol, Vienne, Vorarlberg). Elle a connu plusieurs phases :
- 1867-1918 : Autriche-Hongrie (cf. dodis.ch/G904).
- 1918-1919 : République d'Autriche allemande.
- 1919-1934 : Première République d'Autriche.
- 1934-1938 : État fédéral d'Autriche (austrofascisme).
- 1938-1945 : ""Autriche annexée"" (appelée Ostmark (1938-1942) puis Territoire des Alpes et du Danube (1942-1945) par la propagande nazie).
- 1945-1955 : ""Autriche occupée"" (divisée en zones d'occupation alliées).
- 1955- : République d'Autriche."		14.550072	47.51623	Oesterreich	Autriche	Austria, Repubblica d'Austria (1955-), Repubblica dell'Austria tedesca, Ostmark (1936-1942), Prima repubblica austriaca (1919-1934)
32				120.85	23.716667			Formosa, Formose, Taïwan, Chine nationaliste, Nationalchina, Taiwan
33				127	37	Korea	Corée	Corea
34				142.733333	46.966667			Sakhaline du Sud, Sakhalin del Sud, Südsachalin, Präfektur Karafuto
35	Hauptstadt Japans. 			139.69171	35.689487	Tokio	Tokyo	Edo (-1868)
38				-66.916664	10.5			Caracas
39				7.471834	46.8817			Zimmerwald
40				31.2357	30.0444	Kairo	Le Caire	Il Cairo, Caire, Le
41				-74.075836	4.598056			Bogota, Bogotá
42				149.12807	-35.28346			Camberra, Canberra
43	Bern als Hauptstadt wird nicht aufgenommen, sondern nur als Gemeinde und als Kantonshauptort.	(Gemeinde) gelöscht wegen Archivsignaturen		7.444609	46.94792	Bern 	Berne	Berna, Bern
45				138.25293	36.204823	Japan	Japon	Nippon, Giappone
46				121.77402	12.879721			Philippinen, Filippine, Philippines
47				100.61965	34.047863	Asien	Asie	Asia
49				120	-5	Niederländisch-Indien (1800-1949)	Indes orientales néerlandaises	Dutch East Indies (1800-1949), Indie olandesi (1800-1949), Indonesia, Repubblica di Indonesia (1949-)
50						Indochina	Indochine	Indocina
51				95.95622	21.913965	Burma	Birmanie	Birmania, Myanmar
52				114.1095	22.396427			Hong Kong, Xianggang, Hongkong
53				103.81984	1.352083	Singapur	Singapour	Singapore
55				-0.127758	51.50735			London, Londra, Londres
57				132.45	34.3833			Hiroshima
58				129.8667	32.75			Nagasaki
59				138.59695	36.34829			Karuizawa
64				-122.41942	37.77493			San Francisco
66				11.249239	51.021507			Buchenwald
67				9.936667	52.78583			Bergen-Belsen
68				19.145136	51.919437	Polen	Pologne	Pologna
69		"La Yougoslavie a correspondu à trois réalités politiques entre 1918 et 2003 :
- 1918-1941 : ""Première Yougoslavie"" (monarchie) : Royaume des Serbes, Croates et Slovènes (rebaptisé Royaume de Yougoslavie en 1929) => Invasion de l'Allemagne nazie.
- 1945-1992 : ""Deuxième Yougoslavie"" (république fédérale) : République fédérative populaire de Yougoslavie (rebaptisée République fédérative socialiste de Yougoslavie en 1963) => Sécession des républiques fédérées de Slovénie, de Croatie, de Macédoine et de Bosnie-Herzégovine.
- 1992-2006 : ""Troisième Yougoslavie"" (république fédérale) : République fédérale de Yougoslavie (rebaptisée Communauté d'États Serbie-et-Monténégro en 2003) => Indépendance du Monténégro.
Les États issus de la Yougoslavie sont : Slovénie (cf. dodis.ch/G750), Croatie (cf. dodis.ch/G565), Bosnie-Herzégovine (cf. dodis.ch/G8928), Monténégro (cf. dodis.ch/G4898), Serbie (cf. dodis.ch/G564), Macédoine (cf. dodis.ch/G285)(, Kosovo (cf. dodis.ch/G4965))."		18.4	43.8	Jugoslawien (1918-2003)	Yougoslavie (1918-2003)	Jugoslavia (1918-2003), Regno dei Serbi, Croati e Sloveni (1918-1929), Regno di Jugoslavia (1929-1941), Repubblica Socialista Federale di Jugoslavia (1963-1992), Repubblica Populare Federale di Jugoslavia (1945-1963)
71				14.4378	50.07554			Prag, Praha, Praga, Prague
